"";"ID";"spec";"col";"tank";"tp";"treat";"conc";"necro_occured";"treatment";"necro_per"
"218";"Pve_D_4";"Pve";"D";"4";1;"10";10;"no";"C";0
"219";"Pve_D_4";"Pve";"D";"4";2;"10";10;"no";"C";0
"220";"Pve_D_4";"Pve";"D";"4";3;"10";10;"no";"C";0
"221";"Pve_D_5";"Pve";"D";"5";0;"100";100;"no";"D";0
"222";"Pve_D_5";"Pve";"D";"5";1;"100";100;"no";"D";0
"223";"Pve_D_5";"Pve";"D";"5";2;"100";100;"no";"D";0
"224";"Pve_D_5";"Pve";"D";"5";3;"100";100;"yes";"D";1,22628824233068
"225";"Pve_D_6";"Pve";"D";"6";0;"control";0;"no";"control";0
"226";"Pve_D_6";"Pve";"D";"6";1;"control";0;"no";"control";0
"227";"Pve_D_6";"Pve";"D";"6";2;"control";0;"no";"control";0
"228";"Pve_D_6";"Pve";"D";"6";3;"control";0;"no";"control";0
"229";"Pve_D_7";"Pve";"D";"7";0;"0.1";0,1;"no";"A";0
"230";"Pve_D_7";"Pve";"D";"7";1;"0.1";0,1;"no";"A";0
"231";"Pve_D_7";"Pve";"D";"7";2;"0.1";0,1;"no";"A";0
"232";"Pve_D_7";"Pve";"D";"7";3;"0.1";0,1;"no";"A";0
"233";"Pve_D_8";"Pve";"D";"8";0;"1";1;"no";"B";0
"234";"Pve_D_8";"Pve";"D";"8";1;"1";1;"no";"B";0
"235";"Pve_D_8";"Pve";"D";"8";2;"1";1;"no";"B";0
"236";"Pve_D_8";"Pve";"D";"8";3;"1";1;"no";"B";0
"237";"Pve_D_9";"Pve";"D";"9";0;"10";10;"no";"C";0
"238";"Pve_D_9";"Pve";"D";"9";1;"10";10;"no";"C";0
"239";"Pve_D_9";"Pve";"D";"9";2;"10";10;"no";"C";0
"240";"Pve_D_9";"Pve";"D";"9";3;"10";10;"no";"C";0
"241";"Pve_E_1";"Pve";"E";"1";0;"control";0;"no";"control";0
"242";"Pve_E_1";"Pve";"E";"1";1;"control";0;"no";"control";0
"243";"Pve_E_1";"Pve";"E";"1";2;"control";0;"no";"control";0
"244";"Pve_E_1";"Pve";"E";"1";3;"control";0;"no";"control";0
"245";"Pve_E_10";"Pve";"E";"10";0;"100";100;"no";"D";0
"246";"Pve_E_10";"Pve";"E";"10";1;"100";100;"no";"D";0
"247";"Pve_E_10";"Pve";"E";"10";2;"100";100;"no";"D";0
"248";"Pve_E_10";"Pve";"E";"10";3;"100";100;"no";"D";0
"249";"Pve_E_11";"Pve";"E";"11";0;"control";0;"no";"control";0
"250";"Pve_E_11";"Pve";"E";"11";1;"control";0;"no";"control";0
"251";"Pve_E_11";"Pve";"E";"11";2;"control";0;"no";"control";0
"252";"Pve_E_11";"Pve";"E";"11";3;"control";0;"yes";"control";19,8111514460257
"253";"Pve_E_12";"Pve";"E";"12";0;"0.1";0,1;"no";"A";0
"254";"Pve_E_12";"Pve";"E";"12";1;"0.1";0,1;"no";"A";0
"255";"Pve_E_12";"Pve";"E";"12";2;"0.1";0,1;"no";"A";0
"256";"Pve_E_12";"Pve";"E";"12";3;"0.1";0,1;"no";"A";0
"257";"Pve_E_13";"Pve";"E";"13";0;"1";1;"no";"B";0
"258";"Pve_E_13";"Pve";"E";"13";1;"1";1;"no";"B";0
"259";"Pve_E_13";"Pve";"E";"13";2;"1";1;"no";"B";0
"260";"Pve_E_13";"Pve";"E";"13";3;"1";1;"no";"B";0
"261";"Pve_E_14";"Pve";"E";"14";0;"10";10;"no";"C";0
"262";"Pve_E_14";"Pve";"E";"14";1;"10";10;"no";"C";0
"263";"Pve_E_14";"Pve";"E";"14";2;"10";10;"no";"C";0
"264";"Pve_E_14";"Pve";"E";"14";3;"10";10;"no";"C";0
"265";"Pve_E_15";"Pve";"E";"15";0;"100";100;"no";"D";0
"266";"Pve_E_15";"Pve";"E";"15";1;"100";100;"no";"D";0
"267";"Pve_E_15";"Pve";"E";"15";2;"100";100;"no";"D";0
"268";"Pve_E_15";"Pve";"E";"15";3;"100";100;"no";"D";0
"269";"Pve_E_2";"Pve";"E";"2";0;"0.1";0,1;"no";"A";0
"270";"Pve_E_2";"Pve";"E";"2";1;"0.1";0,1;"no";"A";0
"271";"Pve_E_2";"Pve";"E";"2";2;"0.1";0,1;"no";"A";0
"272";"Pve_E_2";"Pve";"E";"2";3;"0.1";0,1;"no";"A";0
"273";"Pve_E_3";"Pve";"E";"3";0;"1";1;"no";"B";0
"274";"Pve_E_3";"Pve";"E";"3";1;"1";1;"no";"B";0
"275";"Pve_E_3";"Pve";"E";"3";2;"1";1;"no";"B";0
"276";"Pve_E_3";"Pve";"E";"3";3;"1";1;"no";"B";0
"277";"Pve_E_4";"Pve";"E";"4";0;"10";10;"no";"C";0
"278";"Pve_E_4";"Pve";"E";"4";1;"10";10;"no";"C";0
"279";"Pve_E_4";"Pve";"E";"4";2;"10";10;"no";"C";0
"280";"Pve_E_4";"Pve";"E";"4";3;"10";10;"no";"C";0
"281";"Pve_E_5";"Pve";"E";"5";0;"100";100;"no";"D";0
"282";"Pve_E_5";"Pve";"E";"5";1;"100";100;"no";"D";0
"283";"Pve_E_5";"Pve";"E";"5";2;"100";100;"no";"D";0
"284";"Pve_E_5";"Pve";"E";"5";3;"100";100;"no";"D";0
"285";"Pve_E_6";"Pve";"E";"6";0;"control";0;"no";"control";0
"286";"Pve_E_6";"Pve";"E";"6";1;"control";0;"no";"control";0
"287";"Pve_E_6";"Pve";"E";"6";2;"control";0;"no";"control";0
"288";"Pve_E_6";"Pve";"E";"6";3;"control";0;"no";"control";0
"289";"Pve_E_7";"Pve";"E";"7";0;"0.1";0,1;"no";"A";0
"290";"Pve_E_7";"Pve";"E";"7";1;"0.1";0,1;"no";"A";0
"291";"Pve_E_7";"Pve";"E";"7";2;"0.1";0,1;"no";"A";0
"292";"Pve_E_7";"Pve";"E";"7";3;"0.1";0,1;"no";"A";0
"293";"Pve_E_8";"Pve";"E";"8";0;"1";1;"no";"B";0
"294";"Pve_E_8";"Pve";"E";"8";1;"1";1;"no";"B";0
"295";"Pve_E_8";"Pve";"E";"8";2;"1";1;"no";"B";0
"296";"Pve_E_8";"Pve";"E";"8";3;"1";1;"no";"B";0
"297";"Pve_E_9";"Pve";"E";"9";0;"10";10;"no";"C";0
"298";"Pve_E_9";"Pve";"E";"9";1;"10";10;"no";"C";0
"299";"Pve_E_9";"Pve";"E";"9";2;"10";10;"no";"C";0
"300";"Pve_E_9";"Pve";"E";"9";3;"10";10;"no";"C";0
"301";"Pve_F_1";"Pve";"F";"1";0;"control";0;"no";"control";0
"302";"Pve_F_1";"Pve";"F";"1";1;"control";0;"no";"control";0
"303";"Pve_F_1";"Pve";"F";"1";2;"control";0;"no";"control";0
"304";"Pve_F_1";"Pve";"F";"1";3;"control";0;"no";"control";0
"305";"Pve_F_10";"Pve";"F";"10";0;"100";100;"no";"D";0
"306";"Pve_F_10";"Pve";"F";"10";1;"100";100;"no";"D";0
"307";"Pve_F_10";"Pve";"F";"10";2;"100";100;"yes";"D";2,08277486713179
"308";"Pve_F_10";"Pve";"F";"10";3;"100";100;"yes";"D";4,71879412578755
"309";"Pve_F_11";"Pve";"F";"11";0;"control";0;"no";"control";0
"310";"Pve_F_11";"Pve";"F";"11";1;"control";0;"no";"control";0
"311";"Pve_F_11";"Pve";"F";"11";2;"control";0;"yes";"control";16,2779938113977
"312";"Pve_F_11";"Pve";"F";"11";3;"control";0;"yes";"control";19,4601665332795
"313";"Pve_F_12";"Pve";"F";"12";0;"0.1";0,1;"no";"A";0
"314";"Pve_F_12";"Pve";"F";"12";1;"0.1";0,1;"no";"A";0
"315";"Pve_F_12";"Pve";"F";"12";2;"0.1";0,1;"no";"A";0
"316";"Pve_F_12";"Pve";"F";"12";3;"0.1";0,1;"no";"A";0
"317";"Pve_F_13";"Pve";"F";"13";0;"1";1;"no";"B";0
"318";"Pve_F_13";"Pve";"F";"13";1;"1";1;"yes";"B";9,9486222606863
"319";"Pve_F_13";"Pve";"F";"13";2;"1";1;"yes";"B";5,61880781252978
