"ID_time";"alpha";"beta";"rETRmax";"Ek";"ps"
"137";"Pve_C_13_t0";0.594623616608568;0;250.540896230008;421.343668889181;250.540896230008
"138";"Pve_C_13_t1";0.601357304797716;0.00248423125252301;222.55650034785;370.090291698898;228.605264098491
"139";"Pve_C_13_t2";0.609592776046623;0;239.682655391517;393.184868341001;239.682655391517
"140";"Pve_C_13_t3";0.580219820910691;0;191.219478608041;329.563851003763;191.219478608041
"141";"Pve_C_14_t0";0.668688103631282;0.000997710835545459;211.273190545814;315.951770935514;213.653345411885
"142";"Pve_C_14_t1";0.666041604787641;0.00154642906933559;221.07185572122;331.918988441729;224.728965954996
"143";"Pve_C_14_t2";0.578188547572273;0;161.612106087761;279.514540311022;161.612106087761
"144";"Pve_C_14_t3";0.600169118478151;0.00467809898936122;130.685727998035;217.748171264485;136.791517979972
"145";"Pve_C_15_t0";0.647351169142052;0.000971895140606021;313.812660750606;484.764183196747;317.367202065195
"146";"Pve_C_15_t1";0.633764579951674;0.000634428727393657;217.61546242033;343.369555990212;219.344831799477
"147";"Pve_C_15_t2";0.672202364611991;0;254.827267792334;379.093084475276;254.827267792334
"148";"Pve_C_15_t3";0.549950342205504;0;92.2883332850657;167.81212084523;92.2883332850657
"149";"Pve_C_2_t0";0.630661728386472;0;284.567638995181;451.220719740261;284.567638995181
"150";"Pve_C_2_t1";0.628095705830109;0.00257676392136258;246.043019162149;391.728548497194;252.690470143065
"151";"Pve_C_2_t2";0.584113648860342;0;187.795913333722;321.505778370577;187.795913333722
"152";"Pve_C_2_t3";0.540670886203851;0.0041237933524456;96.3746825042282;178.250179477746;100.795139577681
"153";"Pve_C_3_t0";0.640318002589915;0;295.545143541912;461.5599473176;295.545143541912
"154";"Pve_C_3_t1";0.5980215938537;0.00251502970860639;180.013542714354;301.015121467992;184.981660218738
"155";"Pve_C_3_t2";0.554182279893866;0;183.258164319863;330.68210761802;183.258164319863
"156";"Pve_C_3_t3";0.586162933629815;0.00377038057843969;102.799020635812;175.376187639892;106.878098358525
"157";"Pve_C_4_t0";0.604710542464466;0.0110277487507408;162.966003536475;269.494232517124;178.567734905793
"158";"Pve_C_4_t1";0.65006808171841;0;238.940924792548;367.562923810879;238.940924792548
"159";"Pve_C_4_t2";0.615577518262975;0;189.070640115489;307.143510778308;189.070640115489
"160";"Pve_C_4_t3";0.568377079419909;0;173.607889510003;305.444916405124;173.607889510003
"161";"Pve_C_5_t0";0.620404955746929;0.00281802365197821;215.342737871322;347.100286476698;221.691273353635
"162";"Pve_C_5_t1";0.641852964921075;0;229.293777319937;357.237233216072;229.293777319937
"163";"Pve_C_5_t2";0.636157802060224;0.0197756491095778;224.010879782911;352.130994947231;257.535753297939
"164";"Pve_C_5_t3";0.624545546628144;0.00308906121020888;121.416342731326;194.407507005438;125.266489788524
"165";"Pve_C_6_t0";0.600122332954429;0.00246916319926075;184.543367566342;307.509581684499;189.541690559243
"166";"Pve_C_6_t1";0.525723792053915;0.00140010999920417;185.40568700756;352.667483971405;188.859084238099
"167";"Pve_C_6_t2";0.626056442680812;0.00527247185683958;236.204989593338;377.290246518179;247.989689611643
"168";"Pve_C_6_t3";0.568895075851003;0.00245203967861179;188.044240894898;330.542922372117;193.344446107595
"169";"Pve_C_7_t0";0.584567260366342;0;214.37108960996;366.717577504453;214.37108960996
"170";"Pve_C_7_t1";0.614655597350617;0;215.28224996996;350.24857968902;215.28224996996
"171";"Pve_C_7_t2";0.539629537878021;0;209.336995226352;387.927236247159;209.336995226352
"172";"Pve_C_7_t3";0.614270729002162;0;232.303890955431;378.178350338769;232.303890955431
