conc;tank;volume;measurement;date;days;polymer;count
0.1;12;100;2;11.05.2021;8;PA;0
0.1;12;100;3;11.05.2021;8;PA;0
0.1;12;100;1;11.05.2021;8;PP;0
0.1;12;100;2;11.05.2021;8;PP;0
0.1;12;100;3;11.05.2021;8;PP;0
0.1;12;100;1;11.05.2021;8;PET;0
0.1;12;100;2;11.05.2021;8;PET;0
0.1;12;100;3;11.05.2021;8;PET;0
0.1;12;100;1;11.05.2021;8;PE;0
0.1;12;100;2;11.05.2021;8;PE;0
0.1;12;100;3;11.05.2021;8;PE;0
0.1;12;100;1;11.05.2021;8;PVC;0
0.1;12;100;2;11.05.2021;8;PVC;0
0.1;12;100;3;11.05.2021;8;PVC;0
0.1;12;100;1;11.05.2021;8;PS;0
0.1;12;100;2;11.05.2021;8;PS;0
0.1;12;100;3;11.05.2021;8;PS;0
1;3;100;1;11.05.2021;8;PA;0
1;3;100;2;11.05.2021;8;PA;0
1;3;100;3;11.05.2021;8;PA;0
1;3;100;1;11.05.2021;8;PP;0
1;3;100;2;11.05.2021;8;PP;2
1;3;100;3;11.05.2021;8;PP;0
1;3;100;1;11.05.2021;8;PET;0
1;3;100;2;11.05.2021;8;PET;4
1;3;100;3;11.05.2021;8;PET;1
1;3;100;1;11.05.2021;8;PE;0
1;3;100;2;11.05.2021;8;PE;0
1;3;100;3;11.05.2021;8;PE;0
1;3;100;1;11.05.2021;8;PVC;0
1;3;100;2;11.05.2021;8;PVC;0
1;3;100;3;11.05.2021;8;PVC;0
1;3;100;1;11.05.2021;8;PS;0
1;3;100;2;11.05.2021;8;PS;0
1;3;100;3;11.05.2021;8;PS;0
1;8;100;1;11.05.2021;8;PA;0
1;8;100;2;11.05.2021;8;PA;0
1;8;100;3;11.05.2021;8;PA;0
1;8;100;1;11.05.2021;8;PP;0
1;8;100;2;11.05.2021;8;PP;0
1;8;100;3;11.05.2021;8;PP;0
1;8;100;1;11.05.2021;8;PET;0
1;8;100;2;11.05.2021;8;PET;0
1;8;100;3;11.05.2021;8;PET;0
1;8;100;1;11.05.2021;8;PE;0
1;8;100;2;11.05.2021;8;PE;0
1;8;100;3;11.05.2021;8;PE;1
1;8;100;1;11.05.2021;8;PVC;0
1;8;100;2;11.05.2021;8;PVC;0
1;8;100;3;11.05.2021;8;PVC;0
1;8;100;1;11.05.2021;8;PS;0
1;8;100;2;11.05.2021;8;PS;0
1;8;100;3;11.05.2021;8;PS;0
1;13;100;1;11.05.2021;8;PA;0
1;13;100;2;11.05.2021;8;PA;0
1;13;100;3;11.05.2021;8;PA;0
1;13;100;1;11.05.2021;8;PP;0
1;13;100;2;11.05.2021;8;PP;0
1;13;100;3;11.05.2021;8;PP;0
1;13;100;1;11.05.2021;8;PET;0
1;13;100;2;11.05.2021;8;PET;0
1;13;100;3;11.05.2021;8;PET;0
1;13;100;1;11.05.2021;8;PE;0
1;13;100;2;11.05.2021;8;PE;0
1;13;100;3;11.05.2021;8;PE;0
1;13;100;1;11.05.2021;8;PVC;0
1;13;100;2;11.05.2021;8;PVC;0
1;13;100;3;11.05.2021;8;PVC;0
1;13;100;1;11.05.2021;8;PS;0
1;13;100;2;11.05.2021;8;PS;0
1;13;100;3;11.05.2021;8;PS;0
10;4;100;1;11.05.2021;8;PA;0
10;4;100;2;11.05.2021;8;PA;0
