conc;tank;volume;measurement;date;days;polymer;count
0;6;50;1;03.05.2021;4;PP;0
0;6;50;2;03.05.2021;4;PP;0
0;6;50;3;03.05.2021;4;PP;0
0;6;50;1;03.05.2021;4;PET;1
0;6;50;2;03.05.2021;4;PET;0
0;6;50;3;03.05.2021;4;PET;0
0;6;50;1;03.05.2021;4;PE;0
0;6;50;2;03.05.2021;4;PE;0
0;6;50;3;03.05.2021;4;PE;0
0;6;50;1;03.05.2021;4;PVC;0
0;6;50;2;03.05.2021;4;PVC;0
0;6;50;3;03.05.2021;4;PVC;0
0;6;50;1;03.05.2021;4;PS;0
0;6;50;2;03.05.2021;4;PS;0
0;6;50;3;03.05.2021;4;PS;0
0;11;50;1;03.05.2021;4;PA;0
0;11;50;2;03.05.2021;4;PA;0
0;11;50;3;03.05.2021;4;PA;0
0;11;50;1;03.05.2021;4;PP;0
0;11;50;2;03.05.2021;4;PP;0
0;11;50;3;03.05.2021;4;PP;0
0;11;50;1;03.05.2021;4;PET;0
0;11;50;2;03.05.2021;4;PET;0
0;11;50;3;03.05.2021;4;PET;0
0;11;50;1;03.05.2021;4;PE;0
0;11;50;2;03.05.2021;4;PE;0
0;11;50;3;03.05.2021;4;PE;0
0;11;50;1;03.05.2021;4;PVC;0
0;11;50;2;03.05.2021;4;PVC;0
0;11;50;3;03.05.2021;4;PVC;0
0;11;50;1;03.05.2021;4;PS;0
0;11;50;2;03.05.2021;4;PS;0
0;11;50;3;03.05.2021;4;PS;0
0.1;2;50;1;03.05.2021;4;PA;0
0.1;2;50;2;03.05.2021;4;PA;0
0.1;2;50;3;03.05.2021;4;PA;0
0.1;2;50;1;03.05.2021;4;PP;0
0.1;2;50;2;03.05.2021;4;PP;0
0.1;2;50;3;03.05.2021;4;PP;2
0.1;2;50;1;03.05.2021;4;PET;0
0.1;2;50;2;03.05.2021;4;PET;0
0.1;2;50;3;03.05.2021;4;PET;1
0.1;2;50;1;03.05.2021;4;PE;0
0.1;2;50;2;03.05.2021;4;PE;0
0.1;2;50;3;03.05.2021;4;PE;0
0.1;2;50;1;03.05.2021;4;PVC;0
0.1;2;50;2;03.05.2021;4;PVC;0
0.1;2;50;3;03.05.2021;4;PVC;0
0.1;2;50;1;03.05.2021;4;PS;0
0.1;2;50;2;03.05.2021;4;PS;0
0.1;2;50;3;03.05.2021;4;PS;0
0.1;7;50;1;03.05.2021;4;PA;0
0.1;7;50;2;03.05.2021;4;PA;0
0.1;7;50;3;03.05.2021;4;PA;0
0.1;7;50;1;03.05.2021;4;PP;2
0.1;7;50;2;03.05.2021;4;PP;0
0.1;7;50;3;03.05.2021;4;PP;1
0.1;7;50;1;03.05.2021;4;PET;0
0.1;7;50;2;03.05.2021;4;PET;1
0.1;7;50;3;03.05.2021;4;PET;1
0.1;7;50;1;03.05.2021;4;PE;0
0.1;7;50;2;03.05.2021;4;PE;0
0.1;7;50;3;03.05.2021;4;PE;0
0.1;7;50;1;03.05.2021;4;PVC;0
0.1;7;50;2;03.05.2021;4;PVC;0
0.1;7;50;3;03.05.2021;4;PVC;0
0.1;7;50;1;03.05.2021;4;PS;0
0.1;7;50;2;03.05.2021;4;PS;0
0.1;7;50;3;03.05.2021;4;PS;0
0.1;12;50;1;03.05.2021;4;PA;0
0.1;12;50;2;03.05.2021;4;PA;0
0.1;12;50;3;03.05.2021;4;PA;0
0.1;12;50;1;03.05.2021;4;PP;0
0.1;12;50;2;03.05.2021;4;PP;0
0.1;12;50;3;03.05.2021;4;PP;0
0.1;12;50;1;03.05.2021;4;PET;0
0.1;12;50;2;03.05.2021;4;PET;1
0.1;12;50;3;03.05.2021;4;PET;1
0.1;12;50;1;03.05.2021;4;PE;0
0.1;12;50;2;03.05.2021;4;PE;0
0.1;12;50;3;03.05.2021;4;PE;0
0.1;12;50;1;03.05.2021;4;PVC;0
0.1;12;50;2;03.05.2021;4;PVC;0
0.1;12;50;3;03.05.2021;4;PVC;0
0.1;12;50;1;03.05.2021;4;PS;0
0.1;12;50;2;03.05.2021;4;PS;0
0.1;12;50;3;03.05.2021;4;PS;0
1;3;50;1;03.05.2021;4;PA;0
1;3;50;2;03.05.2021;4;PA;0
1;3;50;3;03.05.2021;4;PA;0
1;3;50;1;03.05.2021;4;PP;1
1;3;50;2;03.05.2021;4;PP;0
1;3;50;3;03.05.2021;4;PP;1
1;3;50;1;03.05.2021;4;PET;1
1;3;50;2;03.05.2021;4;PET;0
1;3;50;3;03.05.2021;4;PET;0
1;3;50;1;03.05.2021;4;PE;1
1;3;50;2;03.05.2021;4;PE;2
1;3;50;3;03.05.2021;4;PE;0
1;3;50;1;03.05.2021;4;PVC;0
1;3;50;2;03.05.2021;4;PVC;0
1;3;50;3;03.05.2021;4;PVC;0
1;3;50;1;03.05.2021;4;PS;0
1;3;50;2;03.05.2021;4;PS;0
1;3;50;3;03.05.2021;4;PS;0
1;8;50;1;03.05.2021;4;PA;0
1;8;50;2;03.05.2021;4;PA;0
1;8;50;3;03.05.2021;4;PA;0
1;8;50;1;03.05.2021;4;PP;1
1;8;50;2;03.05.2021;4;PP;0
1;8;50;3;03.05.2021;4;PP;0
1;8;50;1;03.05.2021;4;PET;0
1;8;50;2;03.05.2021;4;PET;2
1;8;50;3;03.05.2021;4;PET;1
1;8;50;1;03.05.2021;4;PE;0
1;8;50;2;03.05.2021;4;PE;0
1;8;50;3;03.05.2021;4;PE;0
1;8;50;1;03.05.2021;4;PVC;0
1;8;50;2;03.05.2021;4;PVC;0
1;8;50;3;03.05.2021;4;PVC;0
1;8;50;1;03.05.2021;4;PS;0
1;8;50;2;03.05.2021;4;PS;0
1;8;50;3;03.05.2021;4;PS;0
1;13;50;1;03.05.2021;4;PA;0
1;13;50;2;03.05.2021;4;PA;0
1;13;50;3;03.05.2021;4;PA;0
1;13;50;1;03.05.2021;4;PP;1
1;13;50;2;03.05.2021;4;PP;1
1;13;50;3;03.05.2021;4;PP;0
1;13;50;1;03.05.2021;4;PET;6
1;13;50;2;03.05.2021;4;PET;1
1;13;50;3;03.05.2021;4;PET;2
1;13;50;1;03.05.2021;4;PE;0
1;13;50;2;03.05.2021;4;PE;0
1;13;50;3;03.05.2021;4;PE;0
1;13;50;1;03.05.2021;4;PVC;0
1;13;50;2;03.05.2021;4;PVC;0
1;13;50;3;03.05.2021;4;PVC;0
1;13;50;1;03.05.2021;4;PS;0
1;13;50;2;03.05.2021;4;PS;0
1;13;50;3;03.05.2021;4;PS;0
10;4;50;1;03.05.2021;4;PA;0
10;4;50;2;03.05.2021;4;PA;0
10;4;50;3;03.05.2021;4;PA;0
10;4;50;1;03.05.2021;4;PP;2
10;4;50;2;03.05.2021;4;PP;1
10;4;50;3;03.05.2021;4;PP;1
10;4;50;1;03.05.2021;4;PET;1
10;4;50;2;03.05.2021;4;PET;0
10;4;50;3;03.05.2021;4;PET;3
10;4;50;1;03.05.2021;4;PE;0
10;4;50;2;03.05.2021;4;PE;0
10;4;50;3;03.05.2021;4;PE;1
10;4;50;1;03.05.2021;4;PVC;0
10;4;50;2;03.05.2021;4;PVC;0
10;4;50;3;03.05.2021;4;PVC;0
10;4;50;1;03.05.2021;4;PS;0
10;4;50;2;03.05.2021;4;PS;0
10;4;50;3;03.05.2021;4;PS;0
10;9;50;1;03.05.2021;4;PA;0
10;9;50;2;03.05.2021;4;PA;0
10;9;50;3;03.05.2021;4;PA;2
10;9;50;1;03.05.2021;4;PP;0
10;9;50;2;03.05.2021;4;PP;3
10;9;50;3;03.05.2021;4;PP;7
10;9;50;1;03.05.2021;4;PET;1
10;9;50;2;03.05.2021;4;PET;2
10;9;50;3;03.05.2021;4;PET;80
10;9;50;1;03.05.2021;4;PE;0
10;9;50;2;03.05.2021;4;PE;0
10;9;50;3;03.05.2021;4;PE;0
10;9;50;1;03.05.2021;4;PVC;0
10;9;50;2;03.05.2021;4;PVC;0
10;9;50;3;03.05.2021;4;PVC;0
10;9;50;1;03.05.2021;4;PS;0
10;9;50;2;03.05.2021;4;PS;0
10;9;50;3;03.05.2021;4;PS;0
10;14;50;1;03.05.2021;4;PA;3
10;14;50;2;03.05.2021;4;PA;0
10;14;50;3;03.05.2021;4;PA;0
10;14;50;1;03.05.2021;4;PP;9
10;14;50;2;03.05.2021;4;PP;18
10;14;50;3;03.05.2021;4;PP;4
10;14;50;1;03.05.2021;4;PET;0
10;14;50;2;03.05.2021;4;PET;0
10;14;50;3;03.05.2021;4;PET;0
10;14;50;1;03.05.2021;4;PE;0
10;14;50;2;03.05.2021;4;PE;0
10;14;50;3;03.05.2021;4;PE;0
10;14;50;1;03.05.2021;4;PVC;0
10;14;50;2;03.05.2021;4;PVC;0
10;14;50;3;03.05.2021;4;PVC;0
10;14;50;1;03.05.2021;4;PS;0
10;14;50;2;03.05.2021;4;PS;0
10;14;50;3;03.05.2021;4;PS;0
100;5;50;1;03.05.2021;4;PA;1
100;5;50;2;03.05.2021;4;PA;2
100;5;50;3;03.05.2021;4;PA;1
100;5;50;1;03.05.2021;4;PP;109
100;5;50;2;03.05.2021;4;PP;45
100;5;50;3;03.05.2021;4;PP;112
100;5;50;1;03.05.2021;4;PET;200
100;5;50;2;03.05.2021;4;PET;70
100;5;50;3;03.05.2021;4;PET;300
100;5;50;1;03.05.2021;4;PE;20
100;5;50;2;03.05.2021;4;PE;11
100;5;50;3;03.05.2021;4;PE;12
100;5;50;1;03.05.2021;4;PVC;4
100;5;50;2;03.05.2021;4;PVC;1
100;5;50;3;03.05.2021;4;PVC;1
100;5;50;1;03.05.2021;4;PS;19
100;5;50;2;03.05.2021;4;PS;18
100;5;50;3;03.05.2021;4;PS;31
100;10;50;1;03.05.2021;4;PA;0
100;10;50;2;03.05.2021;4;PA;1
100;10;50;3;03.05.2021;4;PA;2
100;10;50;1;03.05.2021;4;PP;25
100;10;50;2;03.05.2021;4;PP;152
100;10;50;3;03.05.2021;4;PP;200
100;10;50;1;03.05.2021;4;PET;36
100;10;50;2;03.05.2021;4;PET;400
100;10;50;3;03.05.2021;4;PET;500
100;10;50;1;03.05.2021;4;PE;5
100;10;50;2;03.05.2021;4;PE;19
100;10;50;3;03.05.2021;4;PE;87
100;10;50;1;03.05.2021;4;PVC;0
100;10;50;2;03.05.2021;4;PVC;4
100;10;50;3;03.05.2021;4;PVC;23
100;10;50;1;03.05.2021;4;PS;7
100;10;50;2;03.05.2021;4;PS;46
100;10;50;3;03.05.2021;4;PS;86
100;15;50;1;03.05.2021;4;PA;13
100;15;50;2;03.05.2021;4;PA;2
100;15;50;3;03.05.2021;4;PA;7
100;15;50;1;03.05.2021;4;PP;68
100;15;50;2;03.05.2021;4;PP;32
100;15;50;3;03.05.2021;4;PP;123
100;15;50;1;03.05.2021;4;PET;300
100;15;50;2;03.05.2021;4;PET;78
100;15;50;3;03.05.2021;4;PET;200
100;15;50;1;03.05.2021;4;PE;16
100;15;50;2;03.05.2021;4;PE;18
100;15;50;3;03.05.2021;4;PE;29
100;15;50;1;03.05.2021;4;PVC;0
100;15;50;2;03.05.2021;4;PVC;0
100;15;50;3;03.05.2021;4;PVC;4
100;15;50;1;03.05.2021;4;PS;9
100;15;50;2;03.05.2021;4;PS;16
100;15;50;3;03.05.2021;4;PS;16
0;1;50;1;07.05.2021;8;PA;0
0;1;50;2;07.05.2021;8;PA;0
0;1;50;3;07.05.2021;8;PA;0
0;1;50;1;07.05.2021;8;PP;0
0;1;50;2;07.05.2021;8;PP;0
0;1;50;3;07.05.2021;8;PP;0
0;1;50;1;07.05.2021;8;PET;0
0;1;50;2;07.05.2021;8;PET;0
0;1;50;3;07.05.2021;8;PET;0
