Polymer;Form;Count;Length;Width
PE;Fragments;57;138,3;52
PE;Fragments;58;105,58;72,73
PE;Fragments;59;327,86;182,79
PE;Fragments;60;371,1;171,05
PE;Fragments;61;154,52;131,61
PE;Fragments;62;262,23;131
PE;Fragments;63;255,17;144,6
PE;Fragments;64;200,58;100,91
PE;Fragments;65;174,41;111,18
PE;Fragments;66;352,82;172,2
PE;Fragments;67;203,29;167,43
PE;Fragments;68;236,08;95,89
PE;Fragments;69;119,91;98,06
PE;Fragments;70;367,71;266,35
PE;Fragments;71;448,31;220,62
PE;Fragments;72;158,56;78,23
PE;Fragments;73;405,04;167,23
PE;Fragments;74;302,06;138,68
PE;Fragments;75;254,65;112,59
PE;Fragments;76;217,95;100,91
PE;Fragments;77;233,72;103,24
PE;Fragments;78;141,83;104,82
PE;Fragments;79;415,59;182,65
PE;Fragments;80;207,91;163,16
PE;Fragments;81;411,44;277,1
PE;Fragments;82;218,31;138,06
PE;Fragments;83;262,73;138,06
PE;Fragments;84;211,59;140,2
PE;Fragments;85;162,18;111,18
PE;Fragments;86;283,67;275,89
PE;Fragments;87;165,4;133,35
PE;Fragments;88;167,7;83,61
PE;Fragments;89;350,22;277,48
PE;Fragments;90;395,55;264,41
PE;Fragments;91;228,7;136,14
PE;Fragments;92;436,64;242,47
PE;Fragments;93;300,93;170,24
PE;Fragments;94;238,97;197,6
PE;Fragments;95;207,05;168,52
PE;Fragments;96;138,06;94,43
PE;Fragments;97;315,37;248,68
PE;Fragments;98;324,85;263,11
PE;Fragments;99;321,75;221,28
PE;Fragments;100;372,24;267,09
PS;Fragments;1;372,24;267,09
PS;Fragments;2;758,12;328,28
PS;Fragments;3;1082,68;201,54
PS;Fragments;4;364,68;189,13
PS;Fragments;5;533,87;234,94
PS;Fragments;6;382,31;169,22
PS;Fragments;7;578,49;146,37
PS;Fragments;8;413,63;275,55
PS;Fragments;9;449,65;159,2
PS;Fragments;10;502,6;180,72
PS;Fragments;11;407,46;240,3
PS;Fragments;12;473,04;307,38
PS;Fragments;13;171,37;135,82
PS;Fragments;14;364,04;133,29
PS;Fragments;15;733,26;187,67
PS;Fragments;16;400,21;145,48
PS;Fragments;17;356,86;221,16
PS;Fragments;18;381,97;84,61
PS;Fragments;19;153,35;93,98
PS;Fragments;20;344,34;184,02
PS;Fragments;21;214,57;116,56
PS;Fragments;22;404,62;121,18
PS;Fragments;23;273,27;123,1
PS;Fragments;24;392,83;311,43
PS;Fragments;25;721,88;235,47
PS;Fragments;26;286,98;122,68
PS;Fragments;27;561,67;142,58
PS;Fragments;28;645,32;255,58
PS;Fragments;29;442,52;110,88
PS;Fragments;30;401,97;84,3
PS;Fragments;31;289,34;276,69
PS;Fragments;32;563,11;103,5
PS;Fragments;33;277,73;164,84
PS;Fragments;34;309,07;119,22
PS;Fragments;35;589,95;170,61
PS;Fragments;36;475,41;116,56
PS;Fragments;37;167,03;80,24
PS;Fragments;38;583,32;375,78
PS;Fragments;39;360,14;133
PS;Fragments;40;328,58;108,43
PS;Fragments;41;454,96;235,47
PS;Fragments;42;375,9;149,03
PS;Fragments;43;533,62;126,25
PS;Fragments;44;535,62;242,9
PS;Fragments;45;279,32;108,67
PS;Fragments;46;386,76;186,59
PS;Fragments;47;247,74;129,57
PS;Fragments;48;587,75;227,74
PS;Fragments;49;302,34;216,87
PS;Fragments;50;891,47;156,05
PS;Fragments;51;764,11;361,44
PS;Fragments;52;320,12;178,83
PS;Fragments;53;310,93;259,13
PS;Fragments;54;311,6;188,09
PS;Fragments;55;896,67;333,24
PS;Fragments;56;389,29;220,21
PS;Fragments;57;486,97;261,84
PS;Fragments;58;252,49;123,74
PS;Fragments;59;714,64;153,69
PS;Fragments;60;367,25;297,44
PS;Fragments;61;389,09;232,34
PS;Fragments;62;878,27;149,03
PS;Fragments;63;159,04;123,74
PS;Fragments;64;338,83;166,89
PS;Fragments;65;277,07;245,78
PS;Fragments;66;336,36;211,62
